Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Опозиційний блок,Березнегуватська районна організація,Миколаївська область,39840270,"Миколаївська обл.,  Березнегуватський р-н, смт Березнегувате, вул. КУЗЬМЕНКА, буд. 142","Миколаївська обл.,  Березнегуватський р-н, смт Березнегувате, вул. КУЗЬМЕНКА, буд. 142",
Опозиційний блок,Братська районна організація,Миколаївська область,39890447,"Миколаївська обл., Братський р-н, смт Братське, БЕНАРДОСА, буд. 58","Миколаївська обл., Братський р-н, смт Братське, БЕНАРДОСА, буд. 58",
Опозиційний блок,Веселинівська районна організація,Миколаївська область,39921569,"Миколаївська обл., Веселинівський р-н, смт Веселинове, вул. ЛЕНІНА, буд. 1","Миколаївська обл., Веселинівський р-н, смт Веселинове, вул. ЛЕНІНА, буд. 1",
Опозиційний блок,Вознесенська міська організація,Миколаївська область,39868673,"Миколаївська обл., м. Вознесенськ, вул. КІРОВА, буд. 35","Миколаївська обл., м. Вознесенськ, вул. КІРОВА, буд. 35",
Опозиційний блок,Вознесенська районна організація,Миколаївська область,39867135,"Миколаївська обл., м. Вознесенськ, вул. КІРОВА, буд. 35","Миколаївська обл., м. Вознесенськ, вул. КІРОВА, буд. 35",
Опозиційний блок,Врадіївська районна організація,Миколаївська область,39870148,"Миколаївська обл., Врадіївський р-н, смт Врадіївка, вул. ДАЧНА, буд. 11","Миколаївська обл., Врадіївський р-н, смт Врадіївка, вул. ДАЧНА, буд. 11",
Опозиційний блок,Доманівська районна організація,Миколаївська область,39856338,"Миколаївська обл., Доманівський р-н, смт Доманівка, вул. БУДІВЕЛЬНА, буд. 4","Миколаївська обл., Доманівський р-н, смт Доманівка, вул. БУДІВЕЛЬНА буд. 4",
Опозиційний блок,Єланецька районна організація,Миколаївська область,39896407,"Миколаївська обл., Єланецький р-н, смт Сланець, вул. ВАТУТІНА, буд. 25 А","Миколаївська обл., Єланецький р-н, смт Сланець, вул. ВАТУТІНА буд. 25 А",
Опозиційний блок,Вітовська районна організація,Миколаївська область,39850859,"Миколаївська обл., Вітовський р-н, с.  Пересадівка, вул. ІСТОМІНА, буд. 1","Миколаївська обл., Вітовський р-н, с.  Пересадівка, вул. ІСТ ОМІНА буд. 1",
Опозиційний блок,Казанківська районна організація,Миколаївська область,39882609,"Миколаївська обл., Казанківський р-н, смт Казанка, вул. ЖОВТНЕВОЇ РЕВОЛЮЦІЇ, буд. 37","Миколаївська обл., Казанківський р-н, смт Казанка, вул. ЖОВТНЕВОЇ РЕВОЛЮЦІЇ, буд. 37",
Опозиційний блок,Кривоозерська районна організація,Миколаївська область,38442772,"Миколаївська обл., Кривоозерський р-н, смт Криове Озеро, вул. СПОРТИВНА, буд. 54-А","Миколаївська обл., Кривоозерський р-н, смт Криве Озеро, вул. СПОРТИВНА, буд. 54-А",
Опозиційний блок,Миколаївська міська організація,Миколаївська область,39873196,"м. Миколаїв, вул. ДЕКАБРИСТІВ, буд. 41/23, корпус А","м. Миколаїв, вул. ДЕКАБРИСТІВ, буд. 41/23, корпус А","ПАТ ""ПУМБ"" м. Миколаїв, МФО 334851, рахунок № 2600113642"
Опозиційний блок,Миколаївська районна організація,Миколаївська область,39907880,"Миколаївська обл., Миколаївський р-н, с. Кир'яківка, вул. НАБЕРЕЖНА, буд. 13-А","Миколаївська обл., Миколаївський р-н, с. Кир'яківка, вул. НАБЕРЕЖНА, буд. 13-А",
Опозиційний блок,Новобузька районна організація,Миколаївська область,39843072,"Миколаївська обл., Новобузький р-н, м. Новий Буг, вул. ЧАПАЄВА, буд. 1А","Миколаївська обл., Новобузький р-н, м. Новий Буг, вул. ЧАПАЄВА, буд. 1А","МФ ""ПриватБанк"", МФО 326610, рахунок № 26003053219452"
Опозиційний блок,Новоодеська районна організація,Миколаївська область,39848930,"Миколаївська обл., Новоодеський р-н, м. Нова Одеса, вул. ЖОВТНЕВА, буд. 15","Миколаївська обл., Новоодеський р-н, м. Нова Одеса, вул. ЖОВТНЕВА, буд. 15",
Опозиційний блок,Очаківська міська організація,Миколаївська область,39863099,"Миколаївська обл., м. Очаків, вул.  ЛУНАЧАРСЬКОГО, буд. 32","Миколаївська обл., м. Очаків, вул.  ЛУНАЧАРСЬКОГО, буд. 32",
Опозиційний блок,Очаківська районна організація,Миколаївська область,39863167,"Миколаївська обл., м. Очаків, вул. МИРУ, буд. 23","Миколаївська обл., м. Очаків, вул. МИРУ, буд. 23",
Опозиційний блок,Первомайська міська організація,Миколаївська область,39874273,"Миколаївська обл., м. Первомайськ, вул.  ШЕВЧЕНКА, буд. 2","Миколаївська обл., м. Первомайськ, вул.  ШЕВЧЕНКА, буд. 2","МФ ""ПриватБанк"", МФО 326610, рахунок № 26000053226136"
Опозиційний блок,Первомайська районна організація,Миколаївська область,39856448,"Миколаївська обл., м. Первомайськ, вул. ВОРОВСЬКОГО, буд. 122","Миколаївська обл., м. Первомайськ, вул. ВОРОВСЬКОГО, буд. 122",
Опозиційний блок,Снігурівська районна організація,Миколаївська область,39886137,"Миколаївська обл., Снігурівський р-н, м. Снігурівка, вул. ЖОВТНЕВА, буд. 114","Миколаївська обл., Снігурівський р-н, м. Снігурівка, вул. ЖОВТНЕВА, буд. 114",
Опозиційний блок,Южноукраїнська міська організація,Миколаївська область,39849870,"Миколаївська обл., м. Южноукраїнськ, бульв.  ЦВІТОЧНИЙ, буд. 4, кімната 72","Миколаївська обл., м. Южноукраїнськ, бульв.  ЦВІТОЧНИЙ, буд. 4, кімната 72",
Опозиційний блок,Кременчуцька міська організація,Полтавська область,39966510,"Полтавська обл., м. Кременчук, бульв. ПУШКІНА, буд. 7","Полтавська обл., м. Кременчук, бульв. ПУШКІНА, буд. 7","ПАТ  ""Кристалбанк"", МІФО 339050, рахунок № 26001001039589"
Опозиційний блок,Ніжинська міська організація,Чернігівська область,39859166,"Чернігівська обл., м. Ніжин, вул. БЕРЕЗАНСЬКА, буд. 8 А, корпус 2, кв. 65","Чернігівська обл., м. Ніжин, вул. БЕРЕЗАНСЬКА, буд. 8 А, корпус 2, кв. 65",
Опозиційний блок,Прилуцька міська організація,Чернігівська область,39856961,"Чернігівська обл., м. Прилуки, вул. КИЇВСЬКА, буд. 216/4","Чернігівська обл., м. Прилуки, вул. КИЇВСЬКА, буд. 216/4",
Опозиційний блок,Чернігівська міська організація,Чернігівська область,39872669,"м. Чернігів, просп. ПЕРЕМОГИ, буд. 139","м. Чернігів, просп. ПЕРЕМОГИ, буд. 139",
