Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації «Партійна газета «Солідарність» (Свідоцтво серії КВ № 21367-1116,"м. Київ, вул. Електриків, буд. 29А",2015-06-25,850,обтяження відсутнє,,,,"722,56",Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмне забезпечення 1С: Підприємство 8. Бухгалтерія 8 для України,"м. Київ, вул. Електриків, буд. 29А",2016-12-16,4680,обтяження відсутнє,,,,3978,Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Свідоцтво про державну реєстрацію друкованого засобу масової інформації Серія ІФ №580-247Р,"м. Івано-Франківськ, вул. Шевченка, буд. 47",2015-08-28,408,обтяження відсутнє,,,,"346,8",Блок Петра Порошенка “Солідарність”,Івано-Франківська обласна організація,39655372,Івано-Франківська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""СОЛІДАРНІСТЬ ВІННИЧИНА""",м. Вінниця,2015-09-09,408,обтяження відсутнє,,,,"346,8",Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,39508645,Вінницька область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Партійна газета ""Солідарність. Волинь""   ( Свідоцтво серії ВЛ № 492-225Р від 11.08.2015 року )","м. Луцьк, вул. Рівненська, буд. 42",2015-08-11,408,обтяження відсутнє,,,,"346,8",Блок Петра Порошенка “Солідарність”,Волинська обласна організація,39402400,Волинська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","ПАРТІЙНА ГАЗЕТА ""СОЛІДАРНІСТЬ. ДОНЕТЧИНА"" (2017 р.)","Донецька область, м. Краматорськ, просп. Миру, буд. 9",2017-04-03,408,обтяження відсутнє,,,,"360,4",Блок Петра Порошенка “Солідарність”,Донецька обласна організація,39645186,Донецька область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партійна газета ""Солідарність.Дніпропетровщина""","м. Дніпро, вул. Січеславська Набережна, буд. 39, прим. 193 ",2015-08-28,408,обтяження відсутнє,,,,"346,8",Блок Петра Порошенка “Солідарність”,Дніпропетровська обласна організація,39795490,Дніпропетровська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Солідарність. Житомирщина""","м. Житомир, вул. І. Сльоти, буд. 32/98",2015-08-14,408,обтяження відсутнє,,,,"346,8",Блок Петра Порошенка “Солідарність”,Житомирська обласна організація,39682762,Житомирська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність. Закарпаття""","м. Ужгород, вул. Перемоги, буд. 1",2015-09-15,408,обтяження відсутнє,,,,"346,8",Блок Петра Порошенка “Солідарність”,Закарпатська обласна організація,39950317,Закарпатська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",право на видавництво друкованого засобу масової інформації (свідоцтво про державну реєстрацію друкованого засобу масової інформації серія 33 № 1191-466-Р від 01.09.2015 р.),"м. Запоріжжя, просп. Леніна, бул. 193, оф. 62",2015-09-01,,обтяження відсутнє,,,,,Блок Петра Порошенка “Солідарність”,Запорізька обласна організація,39434317,Запорізька область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",друкований засіб  масової інформації,"м. Львів, вул. Лазаренка, буд. 1А, кв. 72",2015-08-26,408,обтяження відсутнє,,,,"346,8",Блок Петра Порошенка “Солідарність”,Львівська обласна організація,39702118,Львівська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації «Солідарність. Київ»,"м. Київ, вул. Лаврська, буд. 16",2015-09-02,850,обтяження відсутнє,,,,"722,55",Блок Петра Порошенка “Солідарність”,Київська міська організація,39154804,Київ,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Свідоцтво про державну реєстрацію друкованого засобу масової інформації (Серія К1 №1620)   Партійна газета ""Солідарність. КИЇВЩИНА""","м. Київ, пров. Бехтеревський, буд. 4А",2015-08-17,408,обтяження відсутнє,,,,"346,8",Блок Петра Порошенка “Солідарність”,Київська обласна організація,39495516,Київська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Партійна газета ""Солідарність.  Кіровоградщина""",м. Кропивницький,2015-08-25,408,обтяження відсутнє,,,,"346,8",Блок Петра Порошенка “Солідарність”,Кіровоградська обласна організація,39697790,Кіровоградська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність. Луганщина""","Луганська область, м. Сєвєродонецьк, вул. Курчатова, буд. 23",2015-08-27,408,обтяження відсутнє,,,,"346,8",Блок Петра Порошенка “Солідарність”,Луганська обласна організація,39825996,Луганська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Партіїна газета""Солідарність.Миколаївщина""",м. Миколаїв,2015-09-10,408,обтяження відсутнє,,,,"346,8",Блок Петра Порошенка “Солідарність”,Миколаївська обласна організація,26029188,Миколаївська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації Партійна газета ""Солідарність. Одещина""","м. Одеса, вул. Канатна, буд. 10",2016-02-04,,обтяження відсутнє,,,,,Блок Петра Порошенка “Солідарність”,Одеська обласна організація,39607381,Одеська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Свідоцтво про державну реєстрацію друкованого засобу масової інформації Партійної газети  ""Солідарність. Полтавщина""","м. Полтава, вул. Котляревського, буд. 22Б, оф. 106-110",2015-08-31,480,обтяження відсутнє,,,,408,Блок Петра Порошенка “Солідарність”,Полтавська обласна організація,26090791,Полтавська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації,"м. Рівне, вул. Данила Галицького, буд. 19, оф. 106",2015-08-26,204,обтяження відсутнє,,,,"173,4",Блок Петра Порошенка “Солідарність”,Рівненська обласна організація,39757256,Рівненська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Солідарність. Сумщина""",м. Суми,2015-08-13,408,обтяження відсутнє,,,,"346,8",Блок Петра Порошенка “Солідарність”,Сумська обласна організація,39587135,Сумська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації «Партійна газета «Солідарність» (Свідоцтво серії КВ № 21367-1116,"м. Тернопіль, вул. Кульчицької, буд. 2А, оф. 1-50",2016-12-31,408,обтяження відсутнє,,,,"346,8",Блок Петра Порошенка “Солідарність”,Тернопільська обласна організація,39614425,Тернопільська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність Харківщина""","м. Харків, вул. Сумська, буд. 39, каб. 220",2016-08-19,408,обтяження відсутнє,,,,"346,8",Блок Петра Порошенка “Солідарність”,Харківська обласна організація,39740347,Харківська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність Херсонщині""","м. Херсон, вул. 14 Східна, буд. 3",2015-09-07,408,обтяження відсутнє,,,,"346,8",Блок Петра Порошенка “Солідарність”,Херсонська обласна організація,39438699,Херсонська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета "" Солідарність. Хмельниччина""",м. Хмельницький,2015-09-10,408,обтяження відсутнє,,,,"346,8",Блок Петра Порошенка “Солідарність”,Хмельницька обласна організація,39545645,Хмельницька область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партійна газета ""Солідарність. Черкащина""","м. Черкаси, вул. Сумгаїтська, буд. 8/2",2015-09-10,408,обтяження відсутнє,,,,306,Блок Петра Порошенка “Солідарність”,Черкаська обласна організація,39602603,Черкаська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Солідарність. Буковина""","м. Чернівці, вул. Комарова, буд. 13-А",2015-08-31,408,обтяження відсутнє,,,,"346,8",Блок Петра Порошенка “Солідарність”,Чернівецька обласна організація,39692702,Чернівецька область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партійна газета ""Солідарність. Чернігівщина","м. Чернігів, вул. Магістратська, буд. 4, кв. 20",2015-08-20,408,обтяження відсутнє,,,,"346,8",Блок Петра Порошенка “Солідарність”,Чернігівська обласна організація,39742680,Чернігівська область,2,2018
"Комерційні позначення (товарні знаки, торгові марки)",Знак для товарів і послуг № 201095,"м. Київ, вул.Електриків, 29А",2015-06-25,5835,обтяження відсутнє,,,,"4813,77",Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,3,2018
"Комерційні позначення (товарні знаки, торгові марки)",Знак для товарів і послуг № 201096,"м. Київ, вул.Електриків, 29А",2015-06-25,40335,обтяження відсутнє,,,,"33276,27",Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмне забезпечення Microsoft Windows 10 Professional (300 штук),"м. Київ, вул.Електриків, 29А",2016-12-21,1167000,обтяження відсутнє,,,,962775,Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмне забезпечення Microsoft Office Home (300 штук),"м. Київ, вул.Електриків, 29А",2016-12-21,1708500,обтяження відсутнє,,,,"14090512,5",Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації «Партійна газета «Солідарність» (Свідоцтво серії КВ № 21367-1116,"м. Київ, вул.Електриків, 29А",2015-06-25,850,обтяження відсутнє,,,,"701,32",Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмне забезпечення 1С: Підприємство 8. Бухгалтерія 8 для України,"м. Київ, вул.Електриків, 29А",2016-12-16,4680,обтяження відсутнє,,,,3861,Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""СОЛІДАРНІСТЬ ВІННИЧИНА""","Україна, м. Вінниця  свідоцтво держ.реєстр. № 943-301-Р",2015-09-09,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,39508645,Вінницька область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Партійна газета ""Солідарність. Волинь""   ( Свідоцтво серії ВЛ № 492-225Р від 11.08.2015 року )","43020, Волинська область, м. Луцьк, вул. Рівненська, буд. 42",2015-08-11,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка “Солідарність”,Волинська обласна організація,39402400,Волинська область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)"," ПАРТІЙНА ГАЗЕТА ""СОЛІДАРНІСТЬ. ДОНЕТЧИНА"" (2017 р.)","84300, Донецька область, м. Краматорськ, пр. Миру, буд. 9",2017-04-03,408,обтяження відсутнє,,,,"350,2",Блок Петра Порошенка “Солідарність”,Донецька обласна організація,39645186,Донецька область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації Партійна газета ""Солідарність. Одещина""","Україна, Одеська область, м. Одеса, вул. Канатна, 10",2016-02-04,0,обтяження відсутнє,2018-08-15,,,0,Блок Петра Порошенка “Солідарність”,Одеська обласна організація,39607381,Одеська область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Солідарність. Житомирщина""","Україна., місто Житомир, вулиця І. Сльоти, будинок 32/98",2015-08-14,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка “Солідарність”,Житомирська обласна організація,39682762,Житомирська область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність. Закарпаття""","88000, Закарпатська обл., м.Ужгород, вул.Перемоги, буд.1",2015-09-15,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка “Солідарність”,Закарпатська обласна організація,39950317,Закарпатська область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",право на видавництво друкованого засобу масової інформації (свідоцтво про державну реєстрацію друкованого засобу масової інформації серія 33 № 1191-466-Р від 01.09.2015 р.),"Україна, 69006 м. Запоріжжя пр. Леніна б. 193 оф. 62",2015-09-01,,обтяження відсутнє,,,,,Блок Петра Порошенка “Солідарність”,Запорізька обласна організація,39434317,Запорізька область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Свідоцтво про державну реєстрацію друкованого засобу масової інформації Серія ІФ №580-247Р,"Івано-Франківська обл., м.Івано-Франківськ, вул.Шевченка, 47",2015-08-28,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка “Солідарність”,Івано-Франківська обласна організація,39655372,Івано-Франківська область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",друкований засіб  масової інформації,"м.Львів, вул.Лазаренка, буд. 1А, кв. 72",2015-08-26,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка “Солідарність”,Львівська обласна організація,39702118,Львівська область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партійна газета ""Солідарність.Дніпропетровщина""","Україна, місто Дніпро, вулиця Січеславська Набережна, будинок 39, приміщення 193 ",2015-08-28,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка “Солідарність”,Дніпропетровська обласна організація,39795490,Дніпропетровська область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації «Солідарність. Київ»,"01015, м.Київ, вул.Лаврська , буд.16. ",2015-09-02,850,обтяження відсутнє,,,,"701,31",Блок Петра Порошенка “Солідарність”,Київська міська організація,39154804,Київ,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Свідоцтво про державну реєстрацію друкованого засобу масової інформації (Серія К1 №1620)   Партійна газета ""Солідарність. КИЇВЩИНА""","УКРАЇНА, 04053, М.КИЇВ, ПРОВУЛОК БЕХТЕРЕВСЬКИЙ, дом № 4, корпус ЛІТ.А",2015-08-17,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка “Солідарність”,Київська обласна організація,39495516,Київська область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Партійна газета ""Солідарність.  Кіровоградщина""","Україна, м.Кіровоград",2015-08-25,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка “Солідарність”,Кіровоградська обласна організація,39697790,Кіровоградська область,3,2018
