Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Нежитлова будівля,"Дніпропетровська обл., м. Кривий Ріг, вул. Матусевича Віталія, буд. 8, частина нежитлового приміщення №124 на першому поверсі",243.3,,18.05.2021,,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Дніпропетровська обл., м. Кривий Ріг, вул. Зінчевського Миколи, буд. 2, нежитлове приміщення №22 на першому поверсі",120.5,,01.10.2021,,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Закарпатська обл., м. Хуст, вул. Духновича, буд. №17А/7",26.6,,16.09.2022,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Закарпатська обл., м. Мукачево, вул. Гоголя Миколи, буд. 2, приміщення 1",47.5,,01.12.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Закарпатська обл., м. Рахів, вул. Миру, буд. №52, нежитлове приміщення №3",31.24,,01.12.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Закарпатська обл., м. Рахів, вул. Миру, буд. №52, нежитлове приміщення №3",31.24,,01.12.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Ужгород, площа Петефі Шандора, буд.№1",73.6,,01.12.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Житомирська обл., м. Бердичів, вул. Шевченка, буд. 18/2",78.5,,01.06.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Житомирська обл., м. Новоград-Волинський, вул. Соборності, буд. 4",39.2,,01.07.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Житомирська обл., м. Коростень, вул. Грушевського, буд. 17",30.45,,01.11.2021,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Житомир, вул. Михайлівська, буд. 8/1",192.0,,21.09.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Рівне, вул. 16 Липня, буд. 42, поверх 1",131.1,,01.06.2021,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Рівненська обл., Володимирецький р-н, смт Володимирець, вул. Поштова, буд. 11А",56.5,,01.09.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
