Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Offiсe Home and Business 2016 32/64 Russian DVD P2 (5 штук),"м. Полтава, вул. Котляревського, буд. 38/40, оф. 19",2017-11-24,28645,обтяження відсутнє,,,,"28406,29",Опозиційний блок,Полтавська обласна організація,39763762,Полтавська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмно продукція ""1С:Підприємство 8.Клієнтська ліцензія на 1 робоче місце""","м. Полтава, вул. Котляревського, буд. 38/40, оф. 19",2017-10-24,3300,обтяження відсутнє,,,,3245,Опозиційний блок,Полтавська обласна організація,39763762,Полтавська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Бухгалтерія""","м. Рівне, вул. Соборна, буд. 67 оф. 10",2017-08-10,1560,обтяження відсутнє,,,,1365,Опозиційний блок,Рівненська обласна організація,39661171,Рівненська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8""","м. Рівне, вул. Соборна, буд. 67 оф. 10",2017-10-25,3300,обтяження відсутнє,,,,3025,Опозиційний блок,Рівненська обласна організація,39661171,Рівненська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Windows 10 Home 64-bit Russian 1pk DVD,"м. Рівне, вул. Соборна, буд. 67 оф. 10",2017-11-29,6242,обтяження відсутнє,,,,6242,Опозиційний блок,Рівненська обласна організація,39661171,Рівненська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""MS Office Home and Bussines 2016 32/64 Russian DVD P2""","м. Рівне, вул. Соборна, буд. 67 оф. 10",2017-11-29,11458,обтяження відсутнє,,,,11458,Опозиційний блок,Рівненська обласна організація,39661171,Рівненська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програма 1:С Підприємство,"м. Суми, пр. Курський, 6/1",2017-10-25,3300,обтяження відсутнє,,,,3300,Опозиційний блок,Сумська обласна організація,39673391,Сумська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція,"м. Суми, пр. Курський, 6/1",2017-10-24,15605,обтяження відсутнє,,,,15605,Опозиційний блок,Сумська обласна організація,39673391,Сумська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція,"м. Суми, пр. Курський, 6/1",2017-10-24,28645,обтяження відсутнє,,,,28645,Опозиційний блок,Сумська обласна організація,39673391,Сумська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8. Клієнтська ліцензія на 1 робоче місце""","м. Херсон, вул. Перекопська, буд. 20, оф. 315",2017-10-23,3300,обтяження відсутнє,,,,3025,Опозиційний блок,Херсонська обласна організація,37542218,Херсонська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Windows 10 Home 64-bit Russian 1pk DVD,"м. Херсон, вул. Перекопська, буд. 20, оф. 315",2017-11-21,3121,обтяження відсутнє,,,,"2990,96",Опозиційний блок,Херсонська обласна організація,37542218,Херсонська область,4,2017
